minute,result,X,Y,xG,player,h_a,situation,season,shotType,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
92,MissedShots,0.823000031,0.369000015,0.062364601,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Chelsea,Swansea,4,2,2014-09-13 15:00:00,Eden Hazard,Pass
84,SavedShot,0.92,0.532000008,0.439938009,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Tottenham,Chelsea,5,3,2015-01-01 17:30:00,Eden Hazard,Pass
87,BlockedShot,0.885999985,0.565999985,0.096759997,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Fiorentina,Atalanta,3,2,2015-02-08 11:30:00,Mario Gomez,BallTouch
0,SavedShot,0.964000015,0.688000031,0.049131401,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Sassuolo,Fiorentina,1,3,2015-02-14 17:00:00,David Pizarro,Chipped
16,MissedShots,0.9,0.676999969,0.060320199,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Sassuolo,Fiorentina,1,3,2015-02-14 17:00:00,Khouma Babacar,Pass
29,Goal,0.855,0.474000015,0.349265993,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Sassuolo,Fiorentina,1,3,2015-02-14 17:00:00,Khouma Babacar,Throughball
84,Goal,0.87,0.44,0.108186997,Mohamed Salah,h,OpenPlay,2014,RightFoot,Fiorentina,Torino,1,1,2015-02-22 19:45:00,Alberto Gilardino,Pass
54,Goal,0.885,0.552999992,0.387299001,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Inter,Fiorentina,0,1,2015-03-01 17:00:00,,None
92,BlockedShot,0.879000015,0.38,0.075346597,Mohamed Salah,a,OpenPlay,2014,LeftFoot,Udinese,Fiorentina,2,2,2015-03-22 19:45:00,,BallTouch
41,BlockedShot,0.891999969,0.344000015,0.092607498,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Fiorentina,Sampdoria,2,0,2015-04-04 17:30:00,,TakeOn
49,MissedShots,0.891999969,0.302000008,0.044689201,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Fiorentina,Sampdoria,2,0,2015-04-04 17:30:00,Micah Richards,Pass
63,Goal,0.905,0.352000008,0.379179001,Mohamed Salah,h,OpenPlay,2014,RightFoot,Fiorentina,Sampdoria,2,0,2015-04-04 17:30:00,Mario Gomez,TakeOn
71,BlockedShot,0.859000015,0.467000008,0.069182403,Mohamed Salah,h,OpenPlay,2014,LeftFoot,Fiorentina,Verona,0,1,2015-04-20 19:45:00,Alessandro Diamanti,Cross
